         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
16   0.747342  1.095435 -0.658862 -0.517859 -0.073962      -0.205541     -1.454652  0.256781  0.830368  0.748629 -0.477409 -0.495127 -0.596880 -0.950888  0.515856  0.694247  1.314650  0.657321  0.438826        -2.585172        0.444130  1.977259  0.775580  0.271383  2.061705    2.265383  1.919536  4.476772  1.894437   1.535613 -0.538767 -0.892353
17   0.764132  0.146706  0.386684  0.131226 -0.264291       0.085570      0.438594 -1.076346 -0.990056 -0.102086 -1.883558 -1.574854 -0.152191  0.266286  0.245809 -0.383537 -0.849474 -1.290532 -1.708931         1.192766       -0.020794  1.067143 -0.888605 -0.360720 -0.038195    0.626253 -1.408049 -0.827798 -0.960590  -0.073832 -0.134038 -1.697908
18   0.774625  2.630922  1.840676  0.553242  0.813883       0.592936     -0.520611  0.182200 -0.990056 -0.102086  0.325090 -0.068392 -0.997101  0.859822 -1.881590 -0.666811 -1.288664  0.210679 -0.010371        -0.597685        2.284891 -0.912593 -0.888605  0.482084 -1.123617   -0.827642 -0.638666 -0.875347 -0.527116  -1.278102  0.059591  0.313164
19   0.412399 -1.008628  0.863531  0.634100 -0.112241       0.301824     -0.038040  0.042362  1.740580  0.238200  0.232767 -0.257416  0.594888  2.246485  0.348570 -0.076796 -0.469691 -1.081874 -1.254617         0.781562       -1.119251 -1.869622 -1.301742 -1.203525 -0.932072   -1.310987 -1.706186 -0.843648 -1.590754  -0.878554  1.442658  0.718758
20   0.910197  0.444217  0.900662  1.025102 -0.163278       0.210332      0.255948 -0.274606  0.372079 -0.442371 -0.136524  0.244738 -0.961526 -1.041849 -1.666986  1.106587 -0.484543  0.703564  0.057162         0.781562       -1.119251 -1.869622 -1.301742 -1.203525 -0.932072   -1.310987  0.274978  1.278757  0.678743  -0.878554 -1.347497 -0.086797
21  -1.463370 -0.225183 -1.602784  0.465737  0.142948      -0.205541     -1.454652  0.256781  0.830368  2.109771 -0.477409 -0.495127 -0.134403 -0.651175  0.201837 -1.275264 -0.382702 -1.959366 -1.927902         0.627361        0.692481 -0.734323  0.775580 -0.571422  0.876964    0.443914 -0.071245 -0.286751 -0.771466   1.535613 -0.028488 -0.892353
22   0.740207 -0.360715 -0.277775 -0.420385 -0.164342       0.301824     -0.038040  0.042362  1.740580 -0.782657  0.232767 -0.257416 -0.054359  0.921335 -1.457640  0.508191 -0.444231  1.660008  0.859373        -0.597685        2.284891 -0.912593 -0.888605  0.271383 -1.123617   -0.827642 -0.532875 -0.793217 -0.791891  -1.278102  0.836292  0.718758
23  -1.526749 -0.117748  0.414044  1.335245 -0.936288      -2.426306      0.486625  1.962811  0.830368  0.408343  2.008208  2.166479  1.004003  1.840760  0.465671  0.655695  0.205006 -1.265718 -1.432659         0.524559       -0.604768  0.185176 -0.888605 -0.150019  0.380366    0.006877 -1.638864 -0.942348 -0.695816   0.325716  1.564222  1.524314
24  -1.471764  0.093815 -0.496656  0.384878  1.032920       0.085570      0.438594 -1.076346 -0.990056 -0.952800 -1.883558 -1.574854  0.114623 -0.053713  0.608103  0.727770  0.493556  0.431744 -0.145438        -0.297849       -1.577443  0.260237  0.775580  0.271383 -0.421285   -0.424371 -0.128949 -0.563398 -0.150380  -0.878554  0.715456 -1.697908
25  -1.310588  0.647516 -1.634053 -0.512321 -0.082469       1.241699      0.040167  1.058522 -0.990056  2.450057 -0.093914  0.544503 -0.356748 -1.048393  0.260148 -1.219950  0.506286  1.068998 -0.419663         0.224723       -0.102236  0.044436  1.607672  0.271383  0.288140   -0.184146  0.467324  1.571254  1.687156   0.730891 -0.255602 -0.086797
26   0.701592  0.374798  0.883074 -1.196850 -1.680589      -0.496653      2.254270 -0.908540 -0.990056  0.748629 -1.180483 -0.894177 -0.659137 -0.644631 -1.974792 -1.226655 -2.114001 -0.413039 -0.684679        -2.585172        0.444130  1.977259  0.775580  2.167694  2.061705    2.265383  1.611782  2.251345  1.743137   1.535613 -0.645773 -1.292314
27  -1.605658 -0.805329 -0.545513  0.228699 -0.626872       0.592936     -0.520611  0.182200 -0.990056 -0.442371  0.325090 -0.068392 -0.623562 -1.244057  0.434125  0.756265  0.535990  0.558067  0.296597         0.130489        0.203912 -0.274573  0.356624  0.692786 -0.080761    0.323318  0.688522  0.478352  0.165080  -0.073832 -1.177889  0.313164
