        0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
16 -1.395867  0.584511  0.382365  0.790510  1.074578       0.171672      0.722504 -0.145759  0.322755  1.313488 -0.061602  0.315543  0.735828 -0.080447  0.352601 -0.738218 -0.107586 -0.034220  0.032794         0.609852       -1.382997 -0.567010  0.985084 -0.132492  1.022040    0.551262 -0.888739 -0.448134 -0.178145   1.644828  0.561326 -0.073578
17  0.451980 -0.965818  0.622585  1.023953 -0.314223       0.552246      0.506144  0.282345 -0.948855  4.227853  0.368181  0.019848 -0.216112  0.002613  0.804494  1.987380  0.844506  0.383350 -0.237249        -0.679267       -0.421076 -0.739888 -0.779245 -0.132492 -0.972299   -0.725688 -0.307749 -0.430747 -0.721377  -1.093813  0.150900  0.291738
18  1.060603 -0.325976  0.371688  0.002640  0.374676       1.197566      0.385280  1.103606 -0.948855 -0.386558 -0.021930  0.598617 -0.391712 -0.531506 -2.214995  1.093787  1.265372  1.784601  0.840388        -2.770704        1.049937  2.062558  0.985084 -0.662460  2.203085    2.380458  2.576075  4.931530  2.386417   1.644828 -0.814392 -0.073578
19  0.451980 -0.124463 -0.156795  0.593195 -0.049008      -0.241995     -1.623037  0.352240  0.750587  0.584897 -0.378981 -0.383126 -0.234596 -0.232786  0.256280 -1.236837 -2.413930 -2.084107  0.458778        -0.048229        0.243261 -0.903668 -0.779245  0.000000 -1.672440   -1.416481 -0.888739 -0.729545 -0.181754  -1.488178 -0.156478 -0.809355
20 -0.729340 -0.511310 -0.948632 -0.418391  0.427498       0.552246      0.506144  0.282345 -0.948855  0.220601  0.368181  0.019848  0.819007 -0.304300  0.703381  1.950964  1.794728 -0.285092 -1.554503         0.772119       -0.604188 -1.667971 -1.217243 -0.662460 -0.781352   -1.211084 -0.846485 -0.755948 -1.712189  -0.704926  0.328810  0.291738
21  0.883088 -0.230368 -0.272457 -0.018203  0.167786       0.651526     -1.277463 -0.573864  0.750587 -1.236581  0.831025  0.428232 -0.151417 -0.157548  0.407710 -1.620605 -1.242988 -1.382656 -0.608717        -2.770704        1.049937  2.062558  0.985084  1.722396  2.203085    2.380458  1.519729  1.165637  2.031782   1.644828 -0.992302  1.397978
22  0.451980 -0.478950  0.097660  0.322235 -0.768719       0.800446     -0.536000 -1.631019 -1.370744 -0.022263 -0.855049 -1.211613 -0.068238 -0.323669 -2.118674 -0.269012 -0.515358  0.990724  1.078736        -0.363748       -1.745977  0.397468  0.985084  0.000000 -0.272159   -0.320707  0.579582 -0.708295 -0.471418  -0.704926 -0.337030 -0.809355
23 -1.592824 -0.131817 -0.573177  0.013756  0.145776       0.262679     -0.524214  0.151293  1.600308 -1.115149  0.282224 -0.158651  0.172058 -0.050277  0.975571  2.162457  2.221205  1.104606 -0.670840         0.086993        0.717706 -0.121166  0.540917 -1.059936  0.067303    0.430155 -1.438039 -0.960728 -1.325971   0.078325  0.327929  0.662200
24 -1.280482  0.090289 -0.368545  0.362531  0.424197      -0.531562     -0.561401 -0.739863 -0.948855  1.313488 -1.033574 -0.759957 -0.964725 -0.184366  0.493488 -0.753624 -0.470466 -0.795088 -0.654358         0.609852       -1.382997 -0.567010  0.985084 -1.059936  1.022040    0.551262  1.688745  0.070256  1.860330   1.644828 -0.689327 -1.174672
25  0.451980  0.153537  1.024731  1.180971 -0.611351       0.047572     -0.128668 -0.897126 -0.948855  0.342033 -1.688168 -1.402733 -0.881545  0.160540 -1.723807 -0.007096 -0.960540  0.147332  0.207752         1.204830        0.363496  1.179969 -0.779245  0.132492  0.109736    0.734375 -0.466201 -0.801669 -0.919900   0.078325 -0.049028 -1.545133
26  0.812927 -0.402463 -0.703073 -1.796815  2.533810      -0.241995     -1.623037  0.352240  0.750587  0.827761 -0.378981 -0.383126 -0.696703 -0.804153  0.865354  1.068576  0.453569 -0.088685 -0.518703         0.186156       -0.591808  0.188195  1.867249 -1.324920  0.435054   -0.079462  0.061972 -0.435254  0.506761   0.861577 -1.856310 -0.809355
27  0.687399  0.552152 -1.393483 -0.715752  0.472618      -2.450978      1.038803  1.951078  0.750587 -0.022263  1.935238  2.130281  2.741371  2.907866  0.415377 -0.004295 -0.614495 -1.377704 -0.727891        -0.048229       -0.176339 -0.903668 -0.779245  1.192428 -1.672440   -1.416481 -1.723252 -0.605260 -0.577899  -1.488178  1.782915  1.397978
28  0.362800 -1.386495 -1.332983 -2.825076 -3.434073       1.197566      0.385280  1.103606 -0.948855 -0.265126 -0.021930  0.598617  0.088879 -0.576202  0.817912  0.359865  0.700477  0.601212  1.162412         0.501675        0.490448  0.324677 -0.779245  1.589904  0.526991    0.112371 -0.540145 -0.401768 -0.507513   0.467212  0.055780 -0.073578
29  0.437187 -0.520135  0.213321 -0.250256 -0.739007       0.171672      0.722504 -0.145759  0.322755 -0.386558 -0.061602  0.315543  0.550985  0.343049  0.666003  0.340256  0.896881  1.225091 -0.583361        -0.679267       -0.630868 -0.739888 -0.779245  0.132492 -0.972299   -0.725688  0.178170  0.595730 -0.020228  -1.093813  0.316480 -0.073578
30 -1.097895  0.269739  0.344997  0.883609 -0.007190      -0.241995      1.044104  0.352240  0.750587 -0.265126 -0.378981 -0.383126 -0.437923 -0.636914  0.219381  0.530740  0.638750 -0.824796 -1.686355         1.204830        0.363496  1.179969 -0.779245 -1.059936  0.109736    0.734375 -0.001408 -0.204716  0.431864   0.078325 -0.950907 -0.809355
31 -1.437287 -0.137701 -0.535809  0.281938 -0.116137       0.800446     -0.536000 -1.631019 -1.370744  0.342033 -0.855049 -1.211613 -0.696703 -0.521077 -0.018785 -0.102338  0.850118  0.842181 -1.467024        -2.770704        1.049937  2.062558  0.985084  0.264984  2.203085    2.380458  2.745090  2.866342  2.222184   1.644828 -0.416297 -0.809355
