         0-25     25-30     30-35     35-40       40+  Avg_game_time  Dmg_per_gold    Drag_%      FT_%     Games    Gd/min  Gd_at_15    Gold/M       KDA    O_0-25   O_25-30   O_30-35   O_35-40     O_40+  O_Avg_game_time  O_Dmg_per_gold  O_Drag_%    O_FT_%   O_Games  O_Gd/min  O_Gd_at_15  O_Gold/M     O_KDA      O_WR  O_Winrate        WR   Winrate
16   0.796394  0.888481 -0.820798 -0.683334 -0.279877      -0.217372     -1.470182  0.288548  0.802792  0.559889 -0.443443 -0.456830 -0.902665 -0.575539  0.439311  0.421160  0.950893  0.433651  0.257745        -2.641869        0.586714  2.000489  0.838320 -0.255076  2.102604    2.299808  1.888401  3.631676  2.268054   1.567546 -0.851650 -0.862958
17   0.783333 -0.046625  0.186999 -0.124488 -0.311825       0.073190      0.566312 -1.013659 -0.975477 -0.631658 -1.815113 -1.515016 -0.090433  0.339107  0.163541 -0.507335 -1.055859 -1.594358 -2.048945         1.195902        0.087395  1.101739 -0.851929 -1.072708  0.009860    0.660419 -1.465447 -0.617162 -1.054174  -0.023516  0.178129 -1.643749
18   0.835574  2.322513  1.567364  0.419799  0.703532       0.579600     -0.465469  0.215697 -0.975477 -0.546547  0.339379 -0.038608 -1.229426  0.787484 -1.942905 -0.725202 -1.366181 -0.093952 -0.244245        -0.622906        2.563653 -0.853274 -0.851929  0.212142 -1.071863   -0.793707 -0.710076 -0.719527 -0.428536  -1.214030 -0.052057  0.305499
19   0.442085 -1.169976  0.594961  0.407480 -0.112148       0.289037      0.053615  0.079102  1.691927  0.049226  0.249320 -0.223861  0.283007  0.304374  0.278048 -0.247064 -0.700399 -1.333418 -1.614708         0.778185       -1.092325 -1.798351 -1.271536 -1.773536 -0.880970   -1.277129 -2.261105 -0.810134 -1.873851  -0.819046  1.476169  0.698624
20   0.942583  0.207430  0.669475  0.780417 -0.193018       0.197717      0.369847 -0.230514  0.355116 -0.972100 -0.110917  0.268275 -0.949345 -0.693422 -1.750153  0.764776 -0.681591  0.379860 -0.029693         0.778185       -1.092325 -1.798351 -1.271536 -0.255076 -0.880970   -1.277129 -0.327355  0.862288  0.607847  -0.819046 -1.196064 -0.082167
21  -1.428038 -0.387916 -1.649762  0.269728  0.020637      -0.217372     -1.470182  0.288548  0.802792  1.581214 -0.443443 -0.456830 -0.454537 -0.595011  0.127758 -1.286686 -0.627050 -2.300499 -2.216275         0.621541        0.853438 -0.677230  0.838320 -1.189513  0.921900    0.478050 -0.266925 -0.583271 -0.589026   1.567546 -0.483872 -0.862958
22   0.799343 -0.381794 -0.371853 -0.676614 -0.295851       0.289037      0.053615  0.079102  1.691927 -0.972100  0.249320 -0.223861 -0.314497 -0.181894 -1.491081  0.251545 -0.660903  1.449944  0.685823        -0.622906        2.563653 -0.853274 -0.851929 -0.722294 -1.071863   -0.793707 -0.679861 -0.812209 -1.159354  -1.214030  0.699941  0.698624
23  -1.496288 -0.308332  0.306221  1.080559 -1.038650      -2.433951      0.617977  1.955009  0.802792 -0.035884  1.981226  2.151677  1.057895  0.915893  0.375378  0.432858 -0.089157 -1.530268 -1.884694         0.517112       -0.539781  0.230785 -0.851929 -0.722294  0.426995    0.040944 -1.908598 -0.796301 -0.901845   0.371468  1.977213  1.479415
24  -1.430566 -0.071112 -0.632651  0.142056  0.844305       0.073190      0.566312 -1.013659 -0.975477 -1.057210 -1.815113 -1.515016 -0.585241 -0.405030  0.548570  0.399227  0.174147  0.156688 -0.246298        -0.318321       -1.584414  0.304909  0.838320  0.328947 -0.371925   -0.390373 -0.538859 -0.710536 -0.404962  -0.819046  0.131399 -1.643749
25  -1.285641  0.478320 -1.707510 -0.697893 -0.185030       1.227139      0.137739  1.071694 -0.975477  0.985441 -0.069351  0.562060 -0.454537 -0.625534  0.184057 -1.389040  0.151578  0.806749 -0.472142         0.212527       -0.000071  0.091803  1.683445 -0.138271  0.335084   -0.150109  0.075510  0.953587  1.917153   0.772015 -0.178400 -0.082167
26   0.720982  0.137029  0.615453 -1.425849 -1.885280      -0.507935      2.519367 -0.849745 -0.975477  0.304557 -1.129278 -0.847919 -0.473209 -0.326090 -2.033557 -1.267677 -2.078983 -0.710824 -0.781138        -2.641869        0.586714  2.000489  0.838320  2.431430  2.102604    2.299808  2.109976  1.515211  2.064042   1.567546 -0.859438 -1.250623
27  -1.572542 -0.860825 -0.619611 -0.008015 -0.724158       0.579600     -0.465469  0.215697 -0.975477 -0.206105  0.339379 -0.038608 -0.930673 -0.829198  0.345320  0.412387  0.149697  0.319203  0.218736         0.116801        0.328725 -0.223223  0.412803 -0.488685 -0.032561    0.357436  0.488446  0.483261  0.166273  -0.023516 -1.514516  0.305499
28   0.829254  2.790831  1.887773  1.279906  0.527817       0.679221      0.874508 -0.676724  0.802792 -1.057210  0.824313  0.385228 -1.425482 -0.705000  0.429292 -0.116928 -1.682146 -1.197226 -0.473168         1.195902        0.087395  1.101739 -0.851929  0.679361  0.009860    0.660419  0.156083 -0.373008  0.179874  -0.023516 -1.567303  1.479415
29   0.577742  0.548720  0.295044 -0.057292 -0.191021       0.828653     -0.996898 -1.778592 -1.416936 -0.801879 -0.942232 -1.316665 -1.453490 -0.694475  0.968428 -0.302627 -0.107965  0.427928  0.768974        -0.013736        0.532997 -1.020052 -0.851929  0.212142 -1.771801   -1.481691 -0.569073 -0.255426  0.392954  -1.614577 -1.993926 -0.862958
30   0.405433 -0.188957 -0.358813  0.088299 -0.442614       0.679221     -1.639504 -0.676724  0.802792 -0.376326  0.824313  0.385228 -0.043753 -0.541858  0.418318 -0.144710  1.868696  0.804461 -1.182524        -0.013736        0.532997 -1.020052 -0.851929 -0.371881 -1.771801   -1.481691 -0.407928 -0.523097 -0.136572  -1.614577 -0.547043  1.479415
31   0.940055 -1.486779  0.177685 -2.334113 -1.346152      -2.433951      0.617977  1.955009  0.802792 -0.035884  1.981226  2.151677  1.272623  0.203331  0.438357 -0.530730 -1.601274  0.031940 -0.442372         0.212527       -0.000071  0.091803  1.683445 -0.722294  0.335084   -0.150109 -1.848169 -0.765176 -0.815706   0.772015  1.650106  1.479415
32   0.366674  0.114072  0.622904  0.324605  0.278220       0.828653     -0.996898 -1.778592 -1.416936 -0.461437 -0.942232 -1.316665 -0.912001 -0.243993  0.518989 -0.960616  1.208555  1.189004 -0.291467         1.195902        0.087395  1.101739 -0.851929 -1.423122  0.009860    0.660419  0.790595  0.340780  1.224417  -0.023516 -1.416730 -0.862958
33  -1.483649 -1.723999 -1.100224  0.011024 -0.461583      -0.217372     -1.470182  0.288548  0.802792  0.474778 -0.443443 -0.456830 -0.669265 -0.552384  0.587693  1.248764  1.590346  1.056245  1.501941        -0.622906        2.563653 -0.853274 -0.851929 -1.656731 -1.071863   -0.793707 -1.274087 -0.430415  0.543469  -1.214030 -0.961551 -0.862958
34   1.122054  1.254258  1.341961  0.158855 -0.597363      -0.507935      2.519367 -0.849745 -0.975477  0.049226 -1.129278 -0.847919 -0.286489 -0.370296 -1.708644  0.153578 -0.369388  0.437084 -0.354087         1.195902        0.087395  1.101739 -0.851929  0.445752  0.009860    0.660419 -0.297140 -0.539697  0.073788  -0.023516 -0.691559 -1.250623
35   0.699075 -1.211298 -0.299203  0.582189 -0.276882       0.828653     -0.996898 -1.778592 -1.416936 -1.227431 -0.942232 -1.316665 -2.956586 -1.166007  0.161155 -1.416822  0.350936 -1.804942 -0.295573         0.621541       -1.760463 -0.677230  0.838320 -0.955904  0.921900    0.478050  0.317229  0.931454  1.034913   1.567546 -2.061424 -0.862958
36  -1.423825 -0.058869 -1.325628 -0.028174  0.615674       0.289037      0.053615  0.079102  1.691927 -0.546547  0.249320 -0.223861 -1.052041 -0.589748  0.105333 -1.231123 -0.753059  0.152110  0.682743         0.517112       -0.539781  0.230785 -0.851929 -0.138271  0.426995    0.040944 -0.931652 -0.289318  0.198915   0.371468 -1.390770  0.698624
37   0.316118 -0.848581 -1.396416 -0.177125 -0.527477       0.197717      0.369847 -0.230514  0.355116 -0.120995 -0.110917  0.268275  0.133631 -0.363981  0.512786 -0.042356  0.977224  0.354682  0.501041        -0.013736        0.532997 -1.020052 -0.851929 -0.138271 -1.771801   -1.481691 -0.931652 -0.651745 -0.347838  -1.614577  0.404853 -0.082167
38  -1.453737 -0.651153 -0.908352  0.196932  0.519829       0.579600     -0.465469  0.215697 -0.975477  0.985441  0.339379 -0.038608 -0.715945 -0.176105  0.164018  0.080468 -0.015808  0.033085 -0.764713        -0.318321       -1.584414  0.304909  0.838320  1.029775 -0.371925   -0.390373 -0.377713 -0.052771 -0.221804  -0.819046  0.545907  0.305499
39   0.528029  1.304763  0.794285  0.837533 -0.169056       0.197717      0.369847 -0.230514  0.355116 -1.227431 -0.110917  0.268275 -1.192081 -0.791834  0.487977 -0.444460  0.097036  0.240235  0.284436        -2.641869        0.586714  2.000489  0.838320 -0.138271  2.102604    2.299808  2.079761  0.553810  1.337758   1.567546 -1.051548 -0.082167
40   0.610182 -0.179774 -1.275331 -0.327196 -0.678233      -0.217372     -1.470182  0.288548  0.802792  1.921656 -0.443443 -0.456830 -1.014697 -0.550805  0.097699 -1.283762 -1.347374  0.302036 -0.647684         0.212527       -0.000071  0.091803  1.683445  0.562556  0.335084   -0.150109  0.961812  0.663783  1.636069   0.772015 -0.628387 -0.862958
41   0.395743 -2.062229 -0.308517 -2.260198 -0.765092      -2.433951      0.617977  1.955009  0.802792  0.985441  1.981226  2.151677  1.197935  0.124392  0.163064 -0.460545 -1.136731  0.199033  1.253513         0.778185       -0.697773 -1.798351 -1.271536  0.095338 -0.880970   -1.277129 -0.085636 -0.741660 -1.501188  -0.819046  1.492611  1.479415
42  -1.285641  0.245691 -1.109538  0.329084  0.387044      -0.507935      2.519367 -0.849745 -0.975477  0.985441 -1.129278 -0.847919 -0.547897 -0.325564  0.418318 -0.220744  0.879425  0.498886  0.218736        -0.013736        0.532997 -1.020052 -0.851929 -0.255076 -1.771801   -1.481691 -1.294230 -0.967140 -1.043294  -1.614577 -0.090133 -1.250623
43   0.783333 -0.005303  0.367695  0.527312 -0.089185       0.579600     -0.465469  0.215697 -0.975477  2.347209  0.339379 -0.038608  0.124295 -0.199261  0.429292 -0.116928 -1.682146 -1.197226 -0.473168         1.195902        0.087395  1.101739 -0.851929  0.679361  0.009860    0.660419  0.156083 -0.373008  0.179874  -0.023516  0.333893  0.305499
44   0.349401  0.435467  1.371766  0.825214  0.063567       0.197717      0.369847 -0.230514  0.355116  0.134337 -0.110917  0.268275 -1.490834 -0.447131  0.811935  0.285176  1.278142 -0.810393 -1.790251         0.621541       -1.760463 -0.677230  0.838320 -1.423122  0.921900    0.478050 -0.055421 -0.101187 -0.967129   1.567546 -0.552236 -0.082167
45   0.942583  0.207430  0.669475  0.780417 -0.193018       0.073190      0.566312 -1.013659 -0.975477 -0.546547 -1.815113 -1.515016 -0.491881  0.014403  0.127758 -0.970851 -0.452141 -1.737418 -1.385784        -2.641869        0.586714  2.000489  0.838320  1.029775  2.102604    2.299808  1.646682  3.200083  2.086710   1.567546 -0.052923 -1.643749
46   0.448826  0.455363  1.215287  0.406360  0.217319       1.227139      0.137739  1.071694 -0.975477 -0.376326 -0.069351  0.562060 -0.379849 -0.788150  0.438357 -0.213433 -0.585673 -0.217555 -0.617914        -0.318321       -1.584414  0.304909  0.838320  1.964212 -0.371925   -0.390373  0.981955 -0.075596  0.917039  -0.819046 -0.890591 -0.082167
47   0.448826 -0.951122  0.153468  0.280927  0.529813       0.579600     -0.465469  0.215697 -0.975477  2.262098  0.339379 -0.038608  0.254999  0.005982  0.495610 -0.581907 -0.760582 -1.103379  1.447533         0.778185       -0.697773 -1.798351 -1.271536 -0.605490 -0.880970   -1.277129 -0.095708 -0.507189 -1.085910  -0.819046  0.319182  0.305499
48   0.379734 -0.436890 -0.485487 -0.284638  0.291199       0.679221     -1.639504 -0.676724  0.802792  0.049226  0.824313  0.385228  0.311015  0.149652  0.752296 -0.900666 -0.232094 -2.014381  0.059618        -0.622906        2.563653 -0.853274 -0.851929 -0.605490 -1.071863   -0.793707 -0.921580  0.203141 -0.448484  -1.214030  0.560618  1.479415
49  -1.701037  0.164577  0.069640  0.158855 -0.299845       0.289037      0.053615  0.079102  1.691927 -0.631658  0.249320 -0.223861 -0.127777 -0.027699  0.243696  0.086317  0.335890  0.517197 -0.757527         0.116801        0.328725 -0.223223  0.412803  0.445752 -0.032561    0.357436 -0.015135 -0.252660 -0.065848  -0.023516  0.670519  0.698624
